okr_id,okr_title,value_stream,okr year,Status,progress
OKR_VS_1_Q1_2025,OneMind Q1 2025 Growth Target,OneMind,2025,At Risk,86
OKR_VS_1_Q2_2025,OneMind Q2 2025 Growth Target,OneMind,2025,In Progress,82
OKR_VS_1_Q3_2025,OneMind Q3 2025 Growth Target,OneMind,2025,At Risk,43
OKR_VS_1_Q4_2025,OneMind Q4 2025 Growth Target,OneMind,2025,Not Started,50
OKR_VS_2_Q1_2025,Commerce Q1 2025 Growth Target,Commerce,2025,In Progress,51
OKR_VS_2_Q2_2025,Commerce Q2 2025 Growth Target,Commerce,2025,At Risk,76
OKR_VS_2_Q3_2025,Commerce Q3 2025 Growth Target,Commerce,2025,In Progress,72
OKR_VS_2_Q4_2025,Commerce Q4 2025 Growth Target,Commerce,2025,In Progress,27
OKR_VS_3_Q1_2025,OneAI Q1 2025 Growth Target,OneAI,2025,Completed,76
OKR_VS_3_Q2_2025,OneAI Q2 2025 Growth Target,OneAI,2025,In Progress,2
OKR_VS_3_Q3_2025,OneAI Q3 2025 Growth Target,OneAI,2025,Completed,54
OKR_VS_3_Q4_2025,OneAI Q4 2025 Growth Target,OneAI,2025,Not Started,29
