employee_id,week,leaves,wfh,engagement,exception wfh
EMP0001,2,0,3,96,1
EMP0001,3,2,2,72,4
EMP0001,4,0,0,60,3
EMP0001,5,0,0,86,3
EMP0001,6,0,1,82,1
EMP0001,7,0,0,82,5
EMP0001,9,0,0,73,4
EMP0001,11,0,1,83,3
EMP0001,12,0,2,78,1
EMP0001,13,0,1,66,3
EMP0001,14,0,3,82,4
EMP0001,15,0,2,100,4
EMP0001,16,0,2,100,3
EMP0001,17,0,0,86,4
EMP0001,18,0,0,63,2
EMP0001,19,0,0,92,5
EMP0001,20,0,0,82,1
EMP0001,21,2,0,76,2
EMP0001,23,0,3,74,4
EMP0001,24,3,0,79,5
EMP0001,25,0,0,76,3
EMP0001,26,0,0,77,1
EMP0001,27,0,2,91,3
EMP0001,28,0,3,100,3
EMP0001,29,0,3,86,2
EMP0001,30,3,0,87,4
EMP0001,32,0,0,88,4
EMP0001,33,0,0,64,5
EMP0001,34,0,2,78,3
EMP0001,35,0,0,88,1
EMP0001,36,0,0,60,5
EMP0001,37,0,0,81,5
EMP0001,38,0,0,61,3
EMP0001,39,0,3,78,4
EMP0001,40,2,3,100,1
EMP0001,41,0,3,81,4
EMP0001,42,2,0,87,5
EMP0001,43,0,3,71,1
EMP0001,44,0,0,80,4
EMP0001,45,0,3,64,1
EMP0001,46,2,1,92,1
EMP0001,47,0,2,86,3
EMP0001,48,0,1,74,3
EMP0001,49,0,1,82,4
EMP0001,51,2,1,64,4
EMP0001,52,1,0,91,3
EMP0002,1,0,0,99,5
EMP0002,2,0,3,72,1
EMP0002,3,0,0,66,1
EMP0002,5,0,0,79,3
EMP0002,8,0,0,74,5
EMP0002,9,0,0,83,5
EMP0002,10,0,2,82,1
EMP0002,11,0,0,79,4
EMP0002,12,3,0,70,1
EMP0002,14,0,0,63,2
EMP0002,15,0,3,74,5
EMP0002,16,1,0,75,1
EMP0002,17,0,0,71,2
EMP0002,18,1,3,62,4
EMP0002,19,0,0,96,2
EMP0002,20,1,1,81,2
EMP0002,21,3,0,63,5
EMP0002,22,0,0,66,1
EMP0002,23,0,2,97,3
EMP0002,24,0,0,64,4
EMP0002,25,3,0,77,5
EMP0002,26,0,3,71,3
EMP0002,27,0,3,93,2
EMP0002,28,0,0,96,2
EMP0002,29,0,0,61,5
EMP0002,30,0,2,93,3
EMP0002,31,0,0,74,5
EMP0002,32,0,2,91,1
EMP0002,33,0,0,81,2
EMP0002,34,0,0,73,3
EMP0002,35,0,0,70,5
EMP0002,36,0,1,83,5
EMP0002,37,0,0,79,4
EMP0002,38,0,0,77,3
EMP0002,39,0,1,86,2
EMP0002,41,0,0,92,2
EMP0002,42,1,0,74,2
EMP0002,43,0,0,79,5
EMP0002,44,0,0,95,5
EMP0002,45,1,0,100,2
EMP0002,46,0,3,66,5
EMP0002,47,0,0,76,3
